x;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BASICA - FEMALE;GAM83_BASICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos
30;0,001230;0,008430;0,000402;0,000694;0,000450;0,000784;0,000677;0,001004;0,001004;0,000893;0,000810;0,000493;0,000441;0,000850;0,000759;0,000440;0,001260;0,000350;0,000920;0,0004818;0,0010541;0,000348;0,0007211;0,0004882;0,0010447;0,0003560;0,0007943;0,002400;0,003560;0,002130;0,002010;0,001990;0,002160;0,002130;0,000970;0,001080;0,001730;0,001520;0,000469;0,000809;0,000342;0,000380;0,000674;0,000607;0,000351;0,000801;0,002139;0,002085;0,002021;0,001956
31;0,001280;0,008510;0,000414;0,000699;0,000463;0,000789;0,000721;0,001067;0,001067;0,000953;0,000860;0,000513;0,000460;0,000881;0,000786;0,000470;0,001270;0,000370;0,000930;0,0005078;0,0010763;0,0003575;0,0007342;0,0005113;0,0010533;0,0003677;0,0007858;0,002450;0,003730;0,002190;0,002055;0,002030;0,002220;0,002190;0,001000;0,001130;0,001780;0,001568;0,000499;0,000860;0,000364;0,000404;0,000717;0,000645;0,000373;0,000821;0,002219;0,002173;0,002093;0,002025
32;0,001340;0,008610;0,000425;0,000700;0,000476;0,000789;0,000770;0,001136;0,001136;0,001020;0,000920;0,000534;0,000479;0,000913;0,000814;0,000500;0,001290;0,000400;0,000940;0,0005376;0,0011029;0,0003685;0,0007579;0,0005390;0,0010691;0,0003823;0,0007845;0,002510;0,003920;0,002250;0,002105;0,002080;0,002285;0,002250;0,001040;0,001180;0,001830;0,001625;0,000533;0,000916;0,000388;0,000431;0,000763;0,000687;0,000397;0,000839;0,002305;0,002240;0,002174;0,002105
33;0,001410;0,008720;0,000436;0,000701;0,000488;0,000790;0,000822;0,001213;0,001213;0,001095;0,000980;0,000555;0,000499;0,000945;0,000843;0,000540;0,001350;0,000420;0,000990;0,0005755;0,0011428;0,0003831;0,0007941;0,0005717;0,0010931;0,0004003;0,0007911;0,002600;0,004120;0,002320;0,002160;0,002130;0,002360;0,002320;0,001080;0,001240;0,001910;0,001710;0,000569;0,000978;0,000414;0,000460;0,000815;0,000734;0,000422;0,000848;0,002400;0,002343;0,002267;0,002195
34;0,001500;0,008830;0,000449;0,000702;0,000500;0,000791;0,000879;0,001297;0,001297;0,001179;0,001050;0,000578;0,000521;0,000980;0,000876;0,000570;0,001420;0,000450;0,001030;0,0006176;0,0011748;0,0004103;0,0008395;0,0006094;0,0011264;0,0004218;0,0008068;0,002710;0,004350;0,002400;0,002220;0,002190;0,002455;0,002400;0,001130;0,001310;0,002000;0,001831;0,000608;0,001046;0,000443;0,000492;0,000872;0,000785;0,000449;0,000849;0,002492;0,002437;0,002373;0,002298
35;0,001620;0,008950;0,000463;0,000704;0,000515;0,000792;0,000942;0,001391;0,001391;0,001273;0,001120;0,000605;0,000545;0,001023;0,000917;0,000620;0,001490;0,000470;0,001090;0,0006637;0,0012103;0,0004548;0,0008802;0,0006525;0,0011699;0,0004469;0,0008313;0,002850;0,004590;0,002510;0,002285;0,002250;0,002575;0,002510;0,001180;0,001410;0,002110;0,001962;0,000651;0,001122;0,000476;0,000529;0,000955;0,000860;0,000478;0,000851;0,002616;0,002568;0,002491;0,002412
36;0,001760;0,009090;0,000481;0,000719;0,000534;0,000794;0,001010;0,001494;0,001494;0,001378;0,001200;0,000636;0,000574;0,001077;0,000968;0,000660;0,001570;0,000510;0,001150;0,0007043;0,0012596;0,0004992;0,0009202;0,0007012;0,0012240;0,0004760;0,0008651;0,003020;0,004860;0,002640;0,002360;0,002320;0,002720;0,002640;0,001240;0,001530;0,002240;0,002140;0,000698;0,001204;0,000502;0,000558;0,001008;0,000907;0,000512;0,000862;0,002752;0,002686;0,002622;0,002541
37;0,001910;0,009230;0,000504;0,000749;0,000558;0,000823;0,001085;0,001607;0,001607;0,001495;0,001300;0,000673;0,000607;0,001146;0,001032;0,000710;0,001660;0,000540;0,001210;0,0007494;0,0013443;0,0005337;0,0009512;0,0007559;0,0012896;0,0005094;0,0009091;0,003210;0,005150;0,002800;0,002455;0,002400;0,002905;0,002800;0,001310;0,001680;0,002400;0,002336;0,000750;0,001295;0,000536;0,000595;0,001073;0,000966;0,000551;0,000891;0,002899;0,002850;0,002770;0,002687
38;0,002090;0,009410;0,000532;0,000796;0,000590;0,000872;0,001167;0,001733;0,001733;0,001624;0,001400;0,000717;0,000646;0,001232;0,001114;0,000760;0,001760;0,000580;0,001280;0,0007991;0,0014038;0,0005578;0,0009876;0,0008171;0,0013672;0,0005474;0,0009630;0,003450;0,005460;0,003010;0,002575;0,002510;0,003130;0,003010;0,001410;0,001880;0,002580;0,002579;0,000807;0,001397;0,000573;0,000637;0,001154;0,001039;0,000598;0,000939;0,003081;0,003006;0,002936;0,002851
39;0,002280;0,009590;0,000567;0,000864;0,000630;0,000945;0,001256;0,001872;0,001872;0,001767;0,001510;0,000769;0,000691;0,001341;0,001216;0,000820;0,001860;0,000620;0,001360;0,000863;0,0014580;0,0005769;0,0010291;0,0008851;0,0014576;0,0005903;0,0010268;0,003720;0,005810;0,003250;0,002720;0,002640;0,003390;0,003250;0,001530;0,002100;0,002790;0,002859;0,000869;0,001509;0,000617;0,000686;0,001253;0,001128;0,000652;0,000999;0,003275;0,003202;0,003121;0,003035
